ID;Price;Rooms;Square;Live Square;Kitchen;Floor;Total Floors;Residental Complex;District;Flat number;Street;Microdistrict;Microistrict 2;Full address;Flat Type;Toilet;Balcony;Repair;Window View;Ceiling;House Type;House Year;Lifts;Parking;Gas;Floor_type;Entrances;Heating;Latitude;Longitude;Shop Points;Bus points;Sport Points;Bank Points;Healthcare Points;Parking Points;Catering Points;Kindergarten Points;Study Points;Leisure Points;Historical Points;Tourism Points;Bus Dist;Centr Dist;
https://kazan.cian.ru/sale/flat/285963527/;3500000;1;34.0;19.0;7.0;1;2;;Авиастроительный;13;Индустриальная;Соцгород;;Татарстан респ., Казань, р-н Авиастроительный, мкр. Соцгород, Индустриальная ул., 13;Вторичка;1 совмещенный;;Косметический;На улицу;3;Кирпичный;1948;;Наземная;Центральное;;5;Центральное;;55.855462;49.077165;38;4;2;7;8;3;6;6;6;7;0;4;0.141;6.856
https://kazan.cian.ru/sale/flat/283844968/;6470000;1;40.1;20.0;10.0;7;14;ЖК «Соловьиная роща»;Приволжский;102к1;Рауиса Гареева;;;Татарстан респ., Казань, р-н Приволжский, ул. Рауиса Гареева, 102к1;Вторичка;1 совмещенный;1 балкон, 1 лоджия;Дизайнерский;На улицу;2.7;Кирпичный;2018;12 всего;Наземная;;Железобетонные;6;Центральное;Нет;55.724302;49.168335;13;3;9;0;3;14;2;3;2;22;0;0;0.31;8.892
https://kazan.cian.ru/sale/flat/281429048/;5200000;1;42.1;18.8;9.9;4;16;;Советский;50;Минская;Азино-2;;Татарстан респ., Казань, р-н Советский, мкр. Азино-2, Минская ул., 50;Вторичка;1 совмещенный;1 лоджия;Косметический;;;Кирпичный;2004;Есть;Наземная;;Железобетонные;1;Центральное;Есть;55.771003;49.241018;25;1;4;0;5;9;4;5;2;31;0;0;0.177;8.896
https://kazan.cian.ru/sale/flat/282678886/;6200000;1;32.47;19.4;5.1;5;17;;Советский;6;Петра Полушкина;;;Татарстан респ., Казань, р-н Советский, ул. Петра Полушкина, 6;Вторичка;1 совмещенный;1 лоджия;Без ремонта;;;Монолитно кирпичный;2022;Есть;Многоуровневая;;;;;;55.785903;49.216664;18;7;3;1;5;3;4;4;1;4;0;0;0.309;7.009
https://kazan.cian.ru/sale/flat/286724397/;3450000;1;22.4;11.4;6.0;5;5;;Кировский;15к1;Можайского;Пороховая слобода;;Татарстан респ., Казань, р-н Кировский, мкр. Пороховая слобода, ул. Можайского, 15к1;Вторичка;1 совмещенный;;Косметический;;;Кирпичный;;;Наземная;;Железобетонные;3;Центральное;;55.821795;49.032285;13;2;1;2;6;5;0;4;2;3;0;0;0.043;5.456
https://kazan.cian.ru/sale/flat/279960183/;7300000;1;58.0;20.0;18.0;8;10;;Приволжский;62А;Юлиуса Фучика;9,10,11;;Татарстан респ., Казань, р-н Приволжский, мкр. 9,10,11, ул. Юлиуса Фучика, 62А;Вторичка;1 совмещенный;1 лоджия;Косметический;Во двор;;Кирпичный;;Есть;Наземная;Центральное;Железобетонные;3;Центральное;;55.74863;49.232376;41;4;1;2;8;6;6;4;4;8;0;0;0.303;9.511
https://kazan.cian.ru/sale/flat/282202092/;2780000;1;18.0;9.0;4.0;2;5;;Советский;2;2-я Даурская;Танкодром;;Татарстан респ., Казань, р-н Советский, мкр. Танкодром, ул. 2-я Даурская, 2;Вторичка;1 раздельный;;Без ремонта;На улицу;;Кирпичный;1977;;;;;3;Центральное;;55.762601;49.165227;21;1;3;1;3;4;2;4;6;7;0;0;0.266;5.249
https://kazan.cian.ru/sale/flat/286251296/;3750000;1;31.3;18.4;5.7;1;5;;Советский;1/30;Карбышева;Танкодром;;Татарстан респ., Казань, р-н Советский, мкр. Танкодром, ул. Карбышева, 1/30;Вторичка;1 совмещенный;;Косметический;Во двор;;Кирпичный;;;;Центральное;Железобетонные;3;Центральное;;55.767038;49.178414;88;4;5;14;10;9;11;4;1;10;2;1;0.121;5.559
https://kazan.cian.ru/sale/flat/285365009/;6250000;1;39.4;19.0;10.0;7;21;;Приволжский;21Бк1;Академика Завойского;Изумрудный город;;Татарстан респ., Казань, р-н Приволжский, мкр. Изумрудный город, ул. Академика Завойского, 21Бк1;Вторичка;1 совмещенный;1 лоджия;Евроремонт;;;;;8 всего;;;;2;;;55.758483;49.242329;23;2;2;1;4;18;2;3;2;20;0;0;0.165;9.503
https://kazan.cian.ru/sale/flat/265013838/;3100000;1;38.9;25.7;6.0;1;2;;Советский;6;Советская;Дербышки;;Татарстан респ., Казань, р-н Советский, мкр. Дербышки, ул. Советская, 6;Вторичка;;;;;3;Кирпичный;1940;;;Центральное;Деревянные;2;Центральное;;55.868455;49.230858;46;5;4;0;11;6;2;5;6;19;3;4;0.116;11.21
https://kazan.cian.ru/sale/flat/266438587/;4100000;1;41.0;18.3;11.6;13;18;ЖК «Салават Купере»;Кировский;5А;Наиля Юсупова;Залесный;;Татарстан респ., Казань, р-н Кировский, мкр. Залесный, ул. Наиля Юсупова, 5А;Вторичка;;1 балкон;;;0;;2018;6 всего;;;Железобетонные;3;Индивидуальный тепловой пункт;;55.852758;48.900269;27;2;1;8;4;16;3;4;2;6;0;0;0.232;14.377
https://kazan.cian.ru/sale/flat/286740858/;4000000;1;31.0;18.0;6.0;1;5;;Кировский;3;Болотникова;Пороховая слобода;;Татарстан респ., Казань, р-н Кировский, мкр. Пороховая слобода, ул. Болотникова, 3;Вторичка;;;;;0;Кирпичный;1964;;;Центральное;Железобетонные;4;Центральное;;55.818594;49.055587;79;6;4;5;18;5;5;6;7;12;6;2;0.065;4.051
https://kazan.cian.ru/sale/flat/272707818/;3650000;1;20.0;11.0;4.0;1;10;;Ново-Савиновский;43;Четаева;;;Татарстан респ., Казань, р-н Ново-Савиновский, ул. Четаева, 43;Вторичка;;1 лоджия;;;0;Панельный;1998;3 всего;;Центральное;Железобетонные;3;Центральное;;55.823838;49.114678;143;3;11;7;20;22;25;5;8;49;1;10;0.479;3.129
https://kazan.cian.ru/sale/flat/261762917/;4650000;1;35.6;20.0;8.0;1;5;;Советский;20;;кварталы 29,30;;Татарстан респ., Казань, р-н Советский, мкр. кварталы 29,30, Сибирский тракт, 20;Вторичка;;;;;2.7;Кирпичный;1960;;;Центральное;Железобетонные;4;Центральное;;55.81085;49.182304;59;3;4;3;14;11;14;5;11;14;3;1;0.094;5.033
https://kazan.cian.ru/sale/flat/273461140/;3500000;1;32.0;16.9;5.8;3;5;;Кировский;2;Колымская;Юдино;;Татарстан респ., Казань, р-н Кировский, мкр. Юдино, Колымская ул., 2;Вторичка;;1 балкон;;;2.7;Кирпичный;1963;;;Центральное;Железобетонные;2;Центральное;;55.819009;48.886039;30;3;0;1;1;3;3;2;2;2;1;1;0.08;14.051
https://kazan.cian.ru/sale/flat/273071626/;4200000;1;46.0;18.0;12.0;13;18;;Кировский;6;Наиля Юсупова;Залесный;;Татарстан респ., Казань, р-н Кировский, мкр. Залесный, ул. Наиля Юсупова, 6;Вторичка;;1 лоджия;;;0;Кирпичный;2018;6 всего;;;Железобетонные;3;Индивидуальный тепловой пункт;;55.856876;48.897663;14;5;5;1;3;13;0;4;1;10;0;0;0.122;14.728
https://kazan.cian.ru/sale/flat/272874001/;1580000;1;20.0;12.0;3.0;2;9;;Советский;55;Тополевая;Дербышки;;Татарстан респ., Казань, р-н Советский, мкр. Дербышки, Тополевая ул., 55;Вторичка;;;;;2.7;Кирпичный;1988;2 всего;;;Железобетонные;2;Центральное;;55.874617;49.22942;12;0;2;3;2;4;3;1;1;11;3;3;0.548;11.652
